"sample_year","est","lwr","upr","log_est","se","model","region","species"
2015,1089275.10986474,619266.585587,1916008.86045894,13.9010229961489,0.288133797490424,"nbs.jellyfish","NBS","Jellyfish"
2016,725953.182220491,408841.033743892,1289029.18073089,13.4952408044279,0.292943707148041,"nbs.jellyfish","NBS","Jellyfish"
2017,945553.251622515,503581.336656472,1775425.11323016,13.7595254866184,0.321447215856254,"nbs.jellyfish","NBS","Jellyfish"
2018,2410467.82591828,1474726.80863492,3939953.5600533,14.6953314052665,0.250692407118344,"nbs.jellyfish","NBS","Jellyfish"
2019,1480998.34431012,990309.161442276,2214819.55458731,14.2082269752953,0.205337710705148,"nbs.jellyfish","NBS","Jellyfish"
2021,539473.829467749,317439.645724831,916810.538948483,13.1983495536395,0.270569546574673,"nbs.jellyfish","NBS","Jellyfish"
2022,522563.166092412,324533.769491152,841429.423460881,13.1665011475571,0.24304338006938,"nbs.jellyfish","NBS","Jellyfish"
2023,1853005.84161834,1152104.5611243,2980311.65306813,14.4323196577819,0.242463014905579,"nbs.jellyfish","NBS","Jellyfish"
2024,1682680.38118648,1068279.86749539,2650441.47267158,14.3358985449693,0.231809480257152,"nbs.jellyfish","NBS","Jellyfish"
2025,1492745.02037517,961904.033328722,2316538.46812945,14.2161272785304,0.224217033975928,"nbs.jellyfish","NBS","Jellyfish"
2003,342016.892063593,241945.083328814,483479.775027562,12.7426154068238,0.1766100594505,"sebs.forage","SEBS","Forage"
2004,992068.87984613,746072.695774497,1319175.2867158,13.8075478191852,0.145395272349874,"sebs.forage","SEBS","Forage"
2005,950627.091303085,737683.653414987,1225039.84266951,13.7648771419176,0.129393594036938,"sebs.forage","SEBS","Forage"
2006,215180.571734688,165291.032222515,280128.194672621,12.279232823151,0.134578897582595,"sebs.forage","SEBS","Forage"
2007,246746.576962505,189241.847394763,321725.210786533,12.4161170847071,0.135377994148655,"sebs.forage","SEBS","Forage"
2008,114362.964339196,65018.5674138841,201156.194801907,11.6471325672195,0.28811978743778,"sebs.forage","SEBS","Forage"
2009,177783.731665494,115859.825156542,272804.27190532,12.0883230999314,0.218466649260856,"sebs.forage","SEBS","Forage"
2010,122769.731683534,82304.1625669203,183130.555582676,11.7180657796511,0.20402865534741,"sebs.forage","SEBS","Forage"
2011,101202.658624062,67098.1202066676,152641.803988432,11.5248803064792,0.209681913523545,"sebs.forage","SEBS","Forage"
2012,74237.7328922802,54532.5592473519,101063.310819273,11.2150278294437,0.157387897035704,"sebs.forage","SEBS","Forage"
2014,487708.908670969,346511.022045067,686442.752075262,13.0974740082341,0.174393052204119,"sebs.forage","SEBS","Forage"
2016,431116.383262386,289187.663729516,642701.467691518,12.9741333634053,0.20372938213916,"sebs.forage","SEBS","Forage"
2018,752968.912824101,341789.215378899,1658806.53387787,13.5317792214997,0.402981754254383,"sebs.forage","SEBS","Forage"
2022,217057.312108192,113300.589982069,415830.815594952,12.2879167087491,0.331698469777442,"sebs.forage","SEBS","Forage"
2024,93131.4941586124,44515.5722689216,194841.372628405,11.4417676891818,0.376625973455078,"sebs.forage","SEBS","Forage"
2003,207477.449540837,119643.261461926,359793.702896253,12.2427779358355,0.280876672823708,"sebs.pollock","SEBS","Pollock"
2004,835357.175120067,561072.356030596,1243728.3757151,13.6356146670069,0.203069809994804,"sebs.pollock","SEBS","Pollock"
2005,1025080.58040423,536604.312392825,1958221.67666933,13.8402817824932,0.330243583119097,"sebs.pollock","SEBS","Pollock"
2006,117576.880151589,80411.4644822171,171919.798192936,11.6748476977684,0.193848286346733,"sebs.pollock","SEBS","Pollock"
2007,28610.8693615958,17450.1229913427,46909.803789487,10.2615419722164,0.252269939803106,"sebs.pollock","SEBS","Pollock"
2008,73177.3869942285,29191.7312685125,183439.95832406,11.2006417313797,0.468886656188552,"sebs.pollock","SEBS","Pollock"
2009,1349.36806945718,393.461905445016,4627.62509323797,7.20739166514263,0.628790845768143,"sebs.pollock","SEBS","Pollock"
2010,10274.4172191979,5619.69961267845,18784.5715020052,9.23741231942965,0.307851997501543,"sebs.pollock","SEBS","Pollock"
2011,11560.1576638796,5215.70892827747,25622.0673069441,9.35531978087727,0.406073524173671,"sebs.pollock","SEBS","Pollock"
2012,11591.1366285217,6966.99506432302,19284.4184760611,9.35799600128556,0.259727586173801,"sebs.pollock","SEBS","Pollock"
2014,270055.383716224,187083.670080805,389825.099339868,12.5063823418202,0.187284621227859,"sebs.pollock","SEBS","Pollock"
2016,245717.552333619,142540.691809656,423578.100809631,12.411937994027,0.277839390843928,"sebs.pollock","SEBS","Pollock"
2018,352218.593596261,130430.717513583,951140.49849499,12.7720072663715,0.506851049161648,"sebs.pollock","SEBS","Pollock"
2022,63709.8142829242,27923.1687372053,145361.02525343,11.0620939000682,0.420865823395454,"sebs.pollock","SEBS","Pollock"
2024,32008.903766394,12753.1301449214,80338.7018467998,10.3737693857794,0.469517486555678,"sebs.pollock","SEBS","Pollock"
2003,65759.5014302742,34151.1160161157,126622.861352982,11.0937594480449,0.334296399791249,"sebs.herring","SEBS","Herring"
2004,18882.7055190383,12289.6627142711,29012.7219931492,9.84600173022943,0.219130542882315,"sebs.herring","SEBS","Herring"
2005,34406.7289573035,25424.120363112,46562.9874557614,10.4460074334564,0.154367025540137,"sebs.herring","SEBS","Herring"
2006,24008.6105851657,17382.9098668314,33159.7751266028,10.0861678193678,0.164760684859539,"sebs.herring","SEBS","Herring"
2007,202198.943433675,114171.195680635,358097.438517315,12.2170073602021,0.291614053771212,"sebs.herring","SEBS","Herring"
2008,45149.8239426506,18343.1149859708,111131.975327606,10.7177416594499,0.459565629064283,"sebs.herring","SEBS","Herring"
2009,97815.315139297,38873.1586001507,246129.623121567,11.4908364402793,0.470813324324863,"sebs.herring","SEBS","Herring"
2010,6447.21567276845,3433.91441842892,12104.7250648165,8.77140363794922,0.321407701163541,"sebs.herring","SEBS","Herring"
2011,6634.06850608948,3420.90303736694,12865.2769349942,8.79997354596702,0.337921364869407,"sebs.herring","SEBS","Herring"
2012,5422.86700225999,2960.38391297233,9933.67326289588,8.5983799217865,0.308835104790106,"sebs.herring","SEBS","Herring"
2014,45206.0669455691,20792.3546376288,98285.5729571345,10.7189865812725,0.39625521426749,"sebs.herring","SEBS","Herring"
2016,10979.6479719839,5457.43444367473,22089.6230331111,9.30379865371021,0.356672154705618,"sebs.herring","SEBS","Herring"
